q572,3,1309,4,2358,4,137,0,0,23274,1,1125,23274,0
q5745,5,179,6,180,6,211,0,0,3,1,10,3,0
q5777,8,214,8,219,8,296,0,0,34,1,46,34,0
q5809,5,181,6,186,6,208,0,0,36,1,18,36,0
q5841,5,174,6,175,6,228,0,0,7,1,12,7,0
q5873,5,183,6,186,6,201,0,0,29,1,19,29,0
q5905,4,175,5,190,5,154,0,0,94,1,20,94,0
q5937,5,246,6,251,6,493,0,0,35,1,18,35,0
q5969,7,212,8,221,8,295,0,0,64,1,36,64,0
q6001,10,1324,11,1326,11,626,0,0,16,1,1120,16,0
q6033,1,113,2,116,2,68,4,0,1,0,0,0,0
q604,10,6152,12,8384,12,504,4,0,17982,1,5893,17982,0
q6065,5,192,6,197,6,238,0,0,45,1,22,45,0
q6097,4,169,8,170,8,134,26,0,4,0,0,0,0
q6129,9,301,10,309,10,420,0,0,69,1,115,69,0
q6161,7,217,8,229,8,319,0,0,92,1,41,92,0
q6193,8,243,9,244,9,472,0,0,10,1,54,10,0
q6225,1,101,2,107,2,65,4,0,1,0,0,0,0
q6257,1,105,2,111,2,64,4,0,1,0,0,0,0
q6289,1,106,2,111,2,69,4,0,1,0,0,0,0
q6321,1,100,2,103,2,61,4,0,1,0,0,0,0
q6353,1,99,2,102,2,63,4,0,1,0,0,0,0
q636,5,2796,6,4366,6,231,0,0,28378,1,2619,28378,0
q6385,1,101,2,106,2,64,4,0,1,0,0,0,0
q6417,1,108,2,111,2,67,4,0,1,0,0,0,0
q64,8,87200,8,103314,8,346,0,0,264907,1,86988,264907,0
q668,5,2954,6,4561,6,217,0,0,28378,1,2789,28378,0
q700,8,15906,9,19947,9,388,0,0,62206,1,15718,62206,0
q732,4,839,5,1498,5,202,0,0,12602,1,665,12602,0
q764,3,763,4,1454,4,139,0,0,16084,1,595,16084,0
q796,2,1009,3,1875,3,114,0,0,22370,1,851,22370,0
q828,3,754,4,1438,4,132,0,0,15373,1,591,15373,0
q860,10,10511,12,15197,12,461,4,0,34776,1,10251,34776,0
q892,2,482,3,883,3,92,0,0,10019,1,333,10019,0
q924,2,718,3,1309,3,89,0,0,15499,1,569,15499,0
q956,3,1596,5,2365,5,121,4,0,14024,1,1409,14024,0
q96,7,46039,8,54868,8,363,0,0,157962,1,45824,157962,0
q988,3,1058,4,2058,4,110,0,0,23127,1,899,23127,0
q1021,2,1026,3,1817,3,106,0,0,22370,1,869,22370,0
q1053,3,2003,4,2688,4,135,0,0,16141,1,1844,16141,0
q1085,2,611,3,1089,3,99,0,0,11735,1,460,11735,0
q1117,3,1461,4,2436,4,131,0,0,24535,1,1296,24535,0
q1149,3,1011,4,1682,4,119,0,0,16084,1,860,16084,0
q1181,2,998,3,1807,3,98,0,0,22370,1,854,22370,0
q1213,6,1272,6,2008,6,196,0,0,11755,1,1099,11755,0
q1245,5,4560,6,5811,6,171,0,0,26060,1,4394,26060,0
q1277,5,8004,6,10345,6,170,0,0,48009,1,7838,48009,0
q129,10,42546,11,50818,11,642,0,0,123513,1,42325,123513,0
q1309,6,2064,6,2655,6,181,0,0,10148,1,1898,10148,0
q1341,5,2626,5,4105,5,153,0,0,26745,1,2455,26745,0
q1373,6,5281,7,7048,7,212,0,0,31953,1,5111,31953,0
q1405,5,4008,5,5120,5,144,0,0,23145,1,3843,23145,0
q1437,7,8760,8,11035,8,314,0,0,35982,1,8574,35982,0
q1469,7,6304,8,7960,8,252,0,0,28516,1,6131,28516,0
q1501,7,2016,8,3006,8,253,0,0,16151,1,1846,16151,0
q1533,6,5953,6,7336,6,187,0,0,23363,1,5776,23363,0
q1565,7,2527,8,3557,8,249,0,0,15746,1,2357,15746,0
q1597,7,6166,8,7148,8,438,0,0,16198,1,5957,16198,0
q161,12,97719,12,113517,12,599,0,0,198404,1,97474,198404,0
q1629,10,1974,12,3565,12,489,4,0,11152,1,1731,11152,0
q1661,6,1949,6,3020,6,189,0,0,19732,1,1750,19732,0
q1693,6,2869,7,3617,7,230,0,0,10744,1,2677,10744,0
q1725,7,5635,8,7301,8,311,0,0,30811,1,5449,30811,0
q1757,6,4104,6,5678,6,200,0,0,29802,1,3928,29802,0
q1789,6,1144,6,1820,6,215,0,0,11078,1,947,11078,0
q1821,1,109,2,9718,588,6346,60390,0,58629,0,0,0,0
q1853,5,8745,6,11157,6,172,0,0,43594,1,8567,43594,0
q1885,5,5895,6,8197,6,176,0,0,43594,1,5721,43594,0
q1917,5,1095,6,1804,6,229,0,0,11394,1,910,11394,0
q193,12,82650,12,97502,12,696,0,0,174116,1,82404,174116,0
q1949,8,1889,9,2682,9,428,0,0,12486,1,1690,12486,0
q1962,4,485,5,702,5,189,0,0,4193,1,319,4193,0
q1994,5,1557,7,2863,7,211,7,0,9208,1,1341,9208,0
q1,8,69383,8,81467,8,294,0,0,211989,1,69187,211989,0
q2026,8,549,11,791,11,368,8,0,2105,1,336,2105,0
q2058,5,321,8,428,8,182,8,0,1380,1,135,1380,0
q2090,2,351,3,530,3,99,0,0,4205,1,203,4205,0
q2122,2,336,3,526,3,96,0,0,4205,1,193,4205,0
q2154,3,260,5,450,5,111,7,0,1387,1,92,1387,0
q2186,2,502,3,912,3,84,0,0,9909,1,361,9909,0
q2218,2,424,3,724,3,96,0,0,7456,1,280,7456,0
q2250,8,356,11,490,11,334,8,0,1088,1,147,1088,0
q225,8,90295,8,104696,8,295,0,0,253197,1,90102,253197,0
q2282,10,1898,11,2256,11,570,0,0,3690,1,1680,3690,0
q2314,2,225,3,330,3,103,0,0,2355,1,88,2355,0
q2346,10,3699,11,4508,11,474,0,0,9668,1,3484,9668,0
q2378,3,253,5,362,5,106,4,0,1799,1,96,1799,0
